index,herb
1293,光枝勾儿茶
973,巴戟天
509,檀香泥
510,鼠李根
511,小黄花菜
512,石韦
513,葛蔓
970,轮环藤
515,白花射干
969,韭菜根
517,胀果甘草
1418,贯众
968,苏子
520,胡桃叶
967,农吉利
522,东方核桃
966,牡荆根
1417,多花黑麦草
525,苍耳子
1416,荜茇根
976,胡桃青皮
980,大芭蕉
505,东当归
504,千金花
1349,臭节草根
484,牛膝茎叶
989,加拿大苍耳
987,喜树叶
1423,油胡桃
488,川杜仲
1350,柚皮
985,茄叶
984,石柑子
527,绿豆皮
492,吴茱萸根
494,黄甘草
495,苦豆子
496,铁丝威灵仙
1421,茶叶
983,白苏叶
1420,霍香
500,猕猴桃
982,苏丹可乐果
502,紫苏梗
493,野芝麻
1415,山白芷
962,萱草嫩苗
530,紫菜
555,连钱草
556,旋覆花根
944,栀子花根
943,清风藤
559,甜瓜子
560,功劳木
940,粟壳
939,芡实茎
563,牛心番荔枝
554,甜瓜根
564,茖葱
935,地瓜子
933,藜芦
569,黄芩子
570,短萼黄连
571,枫香树皮
932,白芷叶
573,独角莲
574,葱实
1357,细叶猪屎豆
566,白刺花叶
481,牡蒿
946,苍耳
551,桑叶汁
961,蓖麻叶
957,关公须
1413,牛蒡根
534,蝙蝠葛
535,泡桐果
1354,棘叶
955,人参
954,蓬莪术
952,印度棉
552,白兰花
540,黄花夹竹桃
542,通脱木花上粉
949,荔枝
544,风箱树根
545,毛叶威灵仙
1355,白花甘西鼠尾草
547,生军
947,水栀叶
1412,枸骨树皮
550,黄连芽
541,黄精根
1424,白花丹参
479,红芪
478,欧当归
409,樟树子
410,重瓣栀子
411,肿节风
412,覆盆子叶
413,木瓜根
1029,檀香油
415,羊蹄实
1028,杨梅核仁
1026,石蒜
408,侧子
418,桑柴灰
420,八角茴香
421,牧马豆
422,显齿蛇葡萄
1021,川防风
424,粉萆薢
1020,桦木皮
426,猕猴桃根
1019,草乌头
1017,金针菜
1025,柿叶
1016,蓖麻子
1031,海人草
1032,汉防己
1054,枸骨根
1052,关木通
774,甘草头
388,柚花
1047,山扁豆
1340,龙葵根
1438,黄瓜根
392,蓝实
1045,蓖麻根
406,无患子树蔃
394,华山参
396,十大功劳叶
397,白扁豆
1437,黄芪
1044,荔枝壳
1043,人参芦
1039,苜蓿
402,地不容
1037,买麻藤
1035,赤松
395,枸骨子
576,荠菜花
431,茄子
433,蒙古蒿
1002,凹叶野百合
459,梧桐根
460,白菊花根
1001,白桔梗
1346,青蒿根
1347,蟑螂
464,紫花前胡
465,黄花蒿子
466,阿魏
1427,莸
467,可可
469,木瓜核
470,小花八角枫
471,毛曼陀罗花
1348,胡桃仁
993,菠菜
474,红前胡
475,炮附子
476,枣树根
992,白花映山红
468,西葫芦
1013,雪莲
1428,橘红珠
1429,薄荷油
1012,松叶
1010,艾实
1009,桑根
437,余甘子
438,粗柄铁线莲
1433,中国红参
1008,紫金牛根
1007,红花苗
442,茵陈蒿
455,炙甘草
443,荠菜
445,漏篮子
1005,牡荆枝
447,台湾泽兰
1430,芡实根
449,南鹤虱
450,三七叶
451,白果叶
452,怀牛膝
1345,骨碎补毛
1344,光叶猪屎豆
1410,相思藤
1409,吊岩风
579,广霍香
832,南蒿
831,桂皮
830,藕汁
707,桦树液
1396,扁豆根
827,青蒿子
710,黑胡桃
711,白屈菜根
823,荷叶蒂
703,白头翁叶
713,槐角
715,胡桃枝
716,喷瓜
717,洋常春藤
718,甘蔗
719,油柑叶
821,百合子
722,甜瓜皮
723,汉三七
724,麻根
822,桃花
725,胡黄莲
702,滇藏木兰
700,欧洲桤木
680,川黄连
1400,绿豆芽
1364,脾寒草
850,叶底珠根
849,孩儿参
685,杧果
846,光慈姑
687,复盆子
688,枸杞子
701,梧桐叶
845,紫檀香
844,金鸡纳
837,云苓
836,银花子
835,莨菪叶
834,印度大麻
696,高山黄华
1366,白蔹子
1397,照山白
699,天门冬
690,败酱
854,番茄
1372,胡麻花
818,苦甘草
754,白玉兰
791,牡荆叶
790,炙马钱子
789,葱叶
758,横根费菜
786,香菇
760,小檗
761,白果紫草
1381,甘草节
792,马钱子粉
784,炙桑柏皮
1382,自消容根
766,臭冷杉
767,栝楼茎叶
768,白果根
769,吴芋
782,毛蕊花
780,紫苏苞
778,大头黄花蒿
776,花白蜡树
764,柠檬皮
727,川木通
795,梅花
797,毛泡桐
817,毕澄茄
730,天雄
731,槐根
816,榆白皮
733,小叶黑柴胡
734,马桑与马桑寄生
1373,灵茵陈
1391,鸡血藤根
1374,桂子
796,藿香根
809,陈蒿
805,樟树叶
742,广木香
743,刺花椒
803,鼠尾草
801,黄精枝
800,蝙蝠葛根
1389,柠檬根
799,小三颗针
749,穿心莲叶
739,高山黄华根
1056,盾叶鬼臼
678,马桑树皮
676,日本赤松
911,桑瘿
607,棘刺花
608,莲花
910,鬼箭锦鸡儿
610,生锦纹
907,棉花
612,海南粗榧
906,葛叶
614,多头风轮菜
605,胡萝卜子
903,筋骨草
617,毛鱼藤
901,炙草
619,荷花
620,人参子
621,梧桐白皮
622,欧薄荷
623,小黄牡蒿
1405,无花果叶
900,木瑚蝶树皮
616,面根藤
627,苦桔梗
604,醋柳果
602,车前与车前草
580,白头翁花)
581,白芥子
930,橄榄
583,白饭豆
584,杧果树皮
929,茶芎
586,普洱茶
1408,土黄莲
589,半夏
912,胡椒
922,茄根
593,霍香叶
917,粉防己
916,虎杖叶
596,牛蒡茎叶
597,柚根
598,一叶萩
599,杨梅
915,大叶钩藤根
1358,臭草
918,黑姜
855,灰叶根
896,卵叶槲寄生
630,独一味
656,金果榄
866,扁豆叶
658,光果甘草
865,枣叶
660,茯神木
661,磨盘草
662,荔枝根
864,野花生
664,紫藤
870,吕宋果
665,牛舌草
667,榆花
668,巴旦杏仁
669,红筷子
670,灯台叶
671,杜仲叶
858,棉花根
857,车前草
1401,银不换
675,茴芹
862,白苏梗
893,芹菜
871,松油
875,桃子
891,白附子
632,鬼臼
890,枸杞叶
887,桃枝
635,屈曲花
636,胡桃油
637,黄菠萝果
885,茄蒂
639,水茄
873,落花生枝叶
1361,鸦片
642,紫藤子
643,金樱叶
644,泡桐花
883,大叶钩藤
881,防风叶
880,姜皮
879,熊胆
878,荆芥根
877,广藿香叶
641,斑蟊
1057,蘑菇
1336,桑沥
381,莱菔子
1202,蝴蝶花
125,月见草
126,叉歧繁缕
1201,荔枝叶
1475,蓖麻油
129,橘
1200,羊蹄叶
131,黄瓜藤
132,大花旋覆花
123,羊耳朵叶
1199,紫檀
136,使君子根
137,千里光
138,灵仙
139,药用蛇床
140,蓖麻子与蓖麻油
1195,红海椒
142,小连翘
143,白花夏枯草
1311,橄榄仁
135,桂丁
1190,番木瓜
1203,紫杉
1205,紫葳根
99,木槿叶
1222,偏翅唐松草根
101,波叶大黄
102,油柑根
103,自消容
104,相思子
1221,长春花
1220,千斤拔
1218,炙厚朴
1204,旱芹
109,桃胶
1217,鸡冠子
112,土木香
1214,西藏酸模
1212,绿豆叶
1476,制半夏
1308,乌头附子尖
117,洋金花
1309,扁竹根
1206,路边紫草
110,大蒜
98,九节茶
146,柠檬
1313,巴戟
1180,枳实
174,银杏果
175,棉花子
1178,酸枣仁
177,响铃草
178,大黄茎
179,青叶胆
180,西洋梨
1315,山蓼
172,枫香寄生
182,鼠李皮
184,水飞蓟
185,辽藁本
186,芡实叶
187,川百合
188,连翘茎叶
382,千金藤
190,无患子
191,木瓜枝
1316,马皮
183,搜山虎
147,草果
171,豆豉姜
169,枣核
149,萝芙木
150,吴茱萸
1473,阿育魏实
152,娃儿藤
153,炙百合
1472,防风花
1314,大良姜
1187,葱花
157,碧桃干
1181,黄瓜
1186,桧叶
160,紫苏叶
161,白槿花
1184,刺黄连
163,广东土牛膝
1470,西伯利亚红松
1469,荔枝草
1183,人参花
1182,牡荆子
168,枣树皮
159,大叶香薷
1169,柿木皮
97,药用牛舌草
95,木槿花
25,诃子核
26,窝儿七
27,地椒
1262,牡蒿根
29,芥子
1261,桃根
1260,茅膏菜
1258,紫藤根
1257,茴香
1263,玉蜀黍
34,橘白
37,樟树皮
1252,莱菔叶
40,长梗百蕊草
41,栀子花
1251,槁本
43,炒枣仁
1249,鼠李
45,三尖杉
1246,牛耳大黄
1254,红头草
47,桃南瓜
23,马桑叶
1299,金鱼
1291,九里香
1494,药用蒲公英
3,桂皮油
1285,杧果叶
1284,高粱姜
1281,藏茄
1280,四季葱头
8,荷包牡丹根
9,小花八角
22,梧桐子
10,栀子叶
12,大黑头草
1277,杭芍
14,半边苏
1273,东北牡蒿
1298,杧果核
17,丁香根
1270,野百合
1269,牡荆
20,除虫菊
11,啤酒花
1482,通花花
48,韭菜
50,仙灵脾
75,苏叶
76,石莲子
77,辣椒茎
78,鹅膏
1230,紫苏子
1483,无花果
1229,棘针
82,洪连
1306,通草
74,钩藤根
84,越橘叶
86,长前胡
1225,锦鸡儿
1224,桑白皮
89,台湾千金藤
90,九里香根
91,臭苜蓿根
1223,四季青
93,荠菜子
94,金樱根
85,骨碎补
1244,白牛胆
73,槐叶
1304,大独活
1243,地榆
52,胡荽
1242,短柱八角
54,梧桐花
1487,制桂枝
56,甜瓜叶
1241,胡桃壳
1239,异株荨麻
1238,苍耳根
1231,虎尾兰
1237,制没药
62,海棠果
63,八角茴香油
1486,三消草
65,冷水丹叶
66,芝麻壳
1303,白芥
1484,鱼藤
69,金铃子
70,生槐角
1236,益母草花
1168,罂粟嫩苗
189,丁香枝
196,黑木金合欢
312,白毛夏枯草
313,扁豆藤
314,莪术油
1086,龙葵子
316,白花前胡
1085,苦檀子
1084,苦豆草
319,广藿香油
320,红旱莲
311,荭草花
1330,檰芽
1082,绵枣儿
324,葛谷
1081,相思子根
326,蜂蜜
1449,覆盆子根
1448,柿皮
329,橘根
1447,长筒瞿麦
1080,胡桃根
322,水仙根
332,马桑根
1087,化香树果
308,樟木
1453,牛乳
1167,苦参实
1111,无患子叶
1110,川乌
1109,狼把草
291,臭柏
1108,麻叶
1452,莲子
1107,喜树皮
309,宽叶羌活
1104,狭叶假人参
297,天仙子
1096,茴香根茎叶
1093,茄花
301,小叶莲
1092,柏根白皮
303,使君子叶
304,女贞根
305,鸡矢藤
1091,黄瓜叶
296,金刚刺
1112,迎山红
1079,山扁豆子
335,蒿本
360,阴行草
1442,油棕
362,西川芎
1070,臧红花
1069,绿豆花
365,苏梗
366,一叶萩根
367,制大黄
1065,猕猴桃枝叶
1072,通花根
370,胡桃花
1063,辣椒
1062,地黄
1061,枳根皮
1059,峨参
376,落花生
377,杨梅根
1058,莱菔
379,大力子
380,丁香露
1334,木槿根
334,光头独活
358,沙参
356,长药隔重楼
336,秋水仙
337,枣仁
338,瓜蒂
339,儿茶
340,刺五加
1078,满山红
342,暴马子
343,百合花
344,风箱树叶
1443,吴茱萸叶
1445,刺人参
1076,毛果芍药
348,小叶贯众
1073,穭豆
1444,鹤虱风
351,甘草稍
352,芋叶
353,金樱花
354,苍耳花
355,甜瓜花
1077,牛西西
284,炮诃子
287,麦角
239,古城玫瑰树
1461,蔓荆子
223,石花
224,葱汁
226,草莓车轴草
1460,胡桃树皮
1144,红柴胡
229,长白松
230,喜树
231,华东蓝刺头
1143,君子兰
233,白花丹
1142,甜瓜茎
1141,生瓜
1459,厚朴子
1140,三尖杉根
238,水栀根
283,诃子叶
1323,猪屎豆
1137,香樟根
221,橄榄核
242,紫葳茎叶
220,侧柏叶
218,无患子皮
1166,青蒜
198,柠檬叶
1163,桃茎白皮
1161,芫花根
1465,华中前胡
202,樟脑
203,罂粟
1156,旱莲草
1155,杨梅树皮
207,功劳子
1464,淫羊霍
1463,葱
210,豆油
1321,灵芝草
1462,榆树
214,藕
1322,北美葶苈子
216,葱须
217,柿根
219,黄花蒿
1457,柿子
775,胡萝卜
1325,羊蹄
261,甘薯
278,昆明山海棠
1126,山荷叶
277,黄精叶
1125,紫金牛
1324,连翘根
1124,硫磺
273,决明子
1123,肝风草
1122,姜叶
1115,丽春花
275,西党
269,丁香树皮
270,山豆根
271,五加叶
272,辣椒头
266,鸡冠苗
1128,南瓜
274,臭牡丹根
251,生山栀
248,柏枝节
1134,大金牛草
1114,紫苏叶油
1132,大叶柴胡
279,姜
1455,华鬼臼
253,茶子
1454,狼把草根
254,山梗菜
1130,紫雪花
