index,herb
1135,长叶薄荷
1129,棉花壳
245,大青叶胆
257,柚核
258,白胶香
282,望江南
247,海松子
1489,葫芦
937,藕节
926,兔脑
1219,莲房炭
1320,浮小麦
897,绞股蓝
981,六一散
919,常山
1147,鹤虱
1095,荆芥穗炭
1119,蝼蛄
1089,五谷虫
882,大豆黄卷
1145,素馨花
1376,猪苓
1253,鸡肠
1196,金莲花
1015,煅阳起石
820,枳椇子
1333,蜜枇杷叶
991,碧玉散
646,木贼
260,桑枝
738,辛夷
735,鹅不食草
595,藕节炭
53,雷丸
709,苦楝皮
374,茵陈
61,合欢花
463,莲房
1439,小麦
472,甘草
347,积雪草
121,焦槟榔
134,冬瓜皮
325,煅花蕊石
655,土槿皮
318,芜荑
156,益元散
193,柿蒂
368,野菊花
30,棕榈炭
631,厚朴花
756,阴起石
13,甜叶菊
246,焦麦芽
393,花蕊石
585,木贼草
757,荆芥炭
565,白毛藤
430,香加皮
587,罂粟壳
1210,白英
1331,煅禹粮石
1074,天仙藤
856,蒲黄炭
1458,芦荟
285,路路通
988,橘核
611,龟甲胶
908,白花蛇舌草
683,炒麦芽
482,花生衣
1365,乌梢蛇
1327,绿豆
489,苦楝子
205,铁树叶
1197,鸡血藤
1133,蜜罂粟壳
888,垂盆草
263,狗脊
295,干蟾皮
298,禹粮石
302,鲜薄荷
537,番泻叶
514,景天三七
307,赤小豆
650,麦麸
1290,使君子
972,扁豆花
1329,枸杞
538,豨莶草
872,蜜桑白皮
953,瓦松
417,荆芥穗
1034,葛花
414,金银花炭
759,昆布
1067,蒲黄
6,海带
401,金箔
996,橘络
44,淡竹叶
1392,灯心草
1250,煅钟乳石
42,煅鹅管石
35,茯苓皮
1247,天浆壳
33,蔓荆子炭
241,前胡
1259,桃叶
751,黑豆
387,小通草
267,玉米须
1264,萆薢
920,鹿衔草
810,牡丹皮
1395,郁李仁
726,三棵针
693,菝契
998,泽泻
423,海金沙
839,海桐皮
553,黑大豆
531,猫爪草
557,金银花
