index,target
2609,MT-ND6
779,ABCA2
2533,BCL3
796,PARP1
2524,GJB1
2523,IGFBP2
801,HMGB1
802,GYPA
4740,CGB8
4736,IL8
3732,CTRC
4728,PENK
3742,SLC18A2
844,DOK2
848,C8orf42
856,MME
858,NPPC
2463,XRCC6
777,PURA
2457,PSMD3
3706,MYST4
2549,SLC1A7
717,TIMP4
2602,BGLAP
2601,HSD17B13
4777,AHR
3679,CDCP1
727,PREP
728,DNTT
2589,ABCB8
743,SPEN
750,CDC2
753,PRDX4
2568,MSTN
759,CD320
4753,UCP1
2560,BOK
769,LARS
2552,SAA2
774,CITED1
867,FTMT
2441,NEK11
4700,CUTA
972,ESRRA
977,PSMG1
3827,PTH
2344,MUC2
2340,RPLP1
990,SLC4A4
4633,GLRA1
3837,CD1A
3839,IER5
4626,TXNIP
2320,MT2A
3848,NQO2
1014,BAP1
2313,SERTAD3
3859,RGS4
1022,CRP
4612,CRLF1
4644,CALCR
3814,KARS
2382,PAM
3802,AQP4
2437,NO66
3771,SLC7A7
4696,IGHG1
4695,TDP1
889,SLC6A4
4693,RPSA
892,SREBF2
4690,CDKN3
713,csn
4687,PRDX5
2414,WT1
2411,ABCB5
917,GLIPR2
2410,ADC
922,MAP1A
3794,REG1A
2396,SLC10A2
4669,NFE2L2
907,PITPNM1
709,SLC5A11
707,NR1I3
3666,PLSCR1
2848,RUNX2
2842,CDR1
464,SFRS11
4937,EIF6
4936,PCOLCE
2834,FRAP1
478,SLC6A2
2827,CLEC11A
4927,SLC5A1
2818,SOD3
4918,SFTPB
4917,NRF1
496,DEFB4
501,OGG1
2808,PLIN2
504,PLP1
4911,HS3ST3A1
3514,KLF10
4944,MSX2
3510,PIM2
446,POU2F1
350,DNAJB4
352,MUC1
355,FBLN1
2940,NCEH1
367,MT1E
4999,CSRP1
378,FABP6
382,SLC26A6
506,MDC1
4989,RPP21
2913,POLB
2908,VCP
4970,TMPRSS13
422,AWAT1
4959,NR1I2
2866,NDUFS1
4956,SLC17A5
2862,DLC1
389,TGM1
3865,MC4R
2796,SCARB2
4893,NCBP1
2708,GPER
2703,SLC3A2
4845,PAPPA
4841,RPLP2
628,LDLR
4829,PCSK9
2678,ADM
4827,pepC
650,FANCD2
655,PGA5
656,DIO1
3632,ANXA5
2645,BCL2L10
2640,CCNB1IP1
4785,CA1
701,WISP2
702,TNPO1
2710,ECM1
2711,ABCG2
604,NR3C1
602,TREH
538,LITAF
3554,MT3
2771,PRCP
4884,GATA1
2760,GDNF
2755,APOB
4879,ALB
4877,TRIM26
2794,TRAP1
4867,TGM2
4865,ABCA3
2741,PAWR
2740,HRK
583,PSMB4
2729,SLC7A8
3586,CDH6
4854,MGEA5
4853,KLK4
2743,TOP2A
2295,APOD
2292,BCAM
1035,PTPRG
1885,MMP10
4336,PCDH12
1871,AHSA1
1870,GAP43
1857,MAC1
4327,DNPEP
4133,Cyp2b1
1489,CETP
1490,TAC1
1847,BCHE
1494,PYGO1
1496,CYP3A43
1500,ING4
4315,CD5L
4314,TERT
1837,NFE2
1511,ADM2
4112,ZBTB7A
1895,ABCC3
1445,TXN
1436,SAFB
4385,STK39
4072,CNP
1954,LGALS1
1953,BAG3
1950,BGN
4380,AAGAB
1389,MKI67
1396,CRYAB
1512,TGFB1I1
4372,BARD1
4370,FBLN2
4366,MMP13
1932,FUS
1925,BMPER
4364,SLC1A6
1914,DHFRP1
1431,gyrB
1907,CASR
1940,SLPI
1960,FCAMR
1834,SLC16A7
4159,MS4A1
4202,TRPM4
4261,B2M
1622,PON1
4211,MYCN
1625,HCRT
1628,SLC37A4
4258,NPY6R
4253,MDK
1640,IGHD
1645,ATMIN
1651,PCDHAC2
1700,LRDD
4227,CALCA
1697,DECR1
1669,KIF20B
1673,DCAF5
4241,SLC38A2
1601,RNASE3
1750,GPR3
4196,PBK
1757,ANTXR2
1804,DBI
1537,MLPH
1538,SLC23A2
1539,CHS2
4300,ABCG1
1542,BCMO1
4167,HERC5
1555,NPS
1833,KCND2
1789,CYP73A5
1788,CYP4B1
1561,EEF1E1
1565,ZFHX3
4180,SNCA
4185,PARP4
1579,HOXA11
1582,SLC6A1
1591,MMP8
4292,MPZ
2953,IL1RN
1963,ECE1
1977,PPARGC1B
3907,TIMP2
1117,NOX4
1118,SYN1
4548,TRIM63
3908,VAOA
1124,TIAM2
3926,VTCN1
2192,ABCC4
2190,ACE
2189,CCK
1150,NR2C2
3938,SLC28A2
2167,FAAH
2165,SLC7A11
2157,MPO
2156,GABPB1
1173,OLR1
1114,MAP1LC3B
2225,MSH6
1098,BATF3
1095,SLC34A1
1037,KCNIP2
3869,KRT10
1039,FBN1
2287,TEP1
1047,PTRH1
2280,CD69
3878,SPDEF
2271,PCSK2
2155,TFF1
1060,MMP3
1065,SLCO6A1
4583,BIK
4581,PCSK1
2249,Cyp2b10
1083,PARG
3896,PSORS1C2
3897,FABP5
3898,MBP
2267,REN
1358,LBP
3949,APOA1
3952,CHI3L1
2036,ABCA1
1297,RAP2A
4419,NUF2
4029,metB
2018,KCND3
1316,NPSR1
4410,CRAT
2006,DCI
4047,KCNK2
1330,AGT
4050,TSPO
1339,KATNA1
1340,PARK7
1346,
4397,TDRD7
1985,co-1
1983,ENOX2
4428,OPCML
1285,GDE5
2046,UCHL1
2050,HTR3A
4495,CHRNA9
1193,XPR1
1196,RPLP0
2135,CDKN2AIP
2120,NPM1
1218,P4HB
3985,LGSN
4470,CA9
1183,IGFBP1
4468,AURKC
1240,RETN
3998,KCNK10
4000,ACE2
4003,CHRNA1
4449,MAP1B
4007,HIF3A
1266,MLN
2058,VIPR1
2099,AZIN1
3441,NOXA1
1678,ELANE
108,HAS2
3202,SLC1A5
207,AQP1
226,TRPV3
5044,PDHX
5130,IVL
326,PCDHGB3
134,SLC11A2
3258,HP
3298,SDC3
77,SLC17A7
78,KLK10
151,TOP1
3134,GUSBP1
5064,HPGD
5057,TFAM
5126,SLC17A8
3146,POR
189,MRPL42
5150,PPY
3194,TSC22D3
188,CA2
5204,UCP2
187,RBM45
3031,PAEP
324,IER3IP1
5099,MSH3
5138,TRIOBP
314,CD163
199,CDK12
68,PYY
3169,SULT1A1
5139,CLCNKB
3029,TERF1
35,IGFBP5
142,ARL6IP5
37,CRYZ
144,GAL
