index,target
1619,WIF1
1621,ORC5
1623,STX1B
4249,HIST1H4A
1656,DNAJB1
1657,A2M
1658,GPHN
1659,OR2T29
1660,HIST1H4K
1661,EPHB1
1662,SLIT2
1654,RICTOR
1663,OR5AC2
1665,KCNB1
1666,MED14
1667,CYP51A1
4247,GPD1L
4246,PHGDH
1671,HNMT
4245,MC2R
1674,SPTLC2
1664,SV2A
1653,EEF1A1
1652,ZEB1
1650,PIGC
4260,OR4K1
1626,ABCC2
1627,OR2M4
1629,CLEC7A
1630,OR10Z1
1632,VNN1
1633,DERA
1634,PMVK
4256,CLDN15
4254,MECR
1638,ALG10B
3277,SDHA
1641,ST8SIA5
1642,OR5D13
1643,PRPH
1644,RRAGD
1646,SLCO1A2
1647,ALDH1A2
4252,EXTL1
4284,ASMT
1564,MIR331
4286,SAT1
4287,RAET1L
1476,NARS
1477,OR2AE1
4328,ATF6
1479,F13A1
1480,PNLIPRP2
1481,RPIA
1483,NLRX1
4326,MFNG
1475,OR2AG1
4325,MIR126
1487,NUDT16L1
4323,NTRK3
4320,OR52N4
1493,PSME2
1495,CSN2
4318,OR4C16
4316,PDE7B
1499,CAB39
1486,RDH8
4329,PPT1
4331,OR8D1
1472,DIAPH3
4349,OR13D1
1448,MIR146A
1451,MIR200C
1452,MGAT5B
4345,DCXR
1454,CLDN18
4342,SRSF7
4340,GHSR
1459,OR6C6
1461,TNFRSF12A
1462,RIMKLA
4335,ARG1
4334,S1PR5
1465,ASGR1
4333,EREG
1467,DTX1
1469,SERPINA5
1470,MIR9-3
1471,HIST1H2AB
1502,ARHGEF7
4474,TAS1R1
1503,ADI1
1506,BAG4
1534,SV2C
1535,ST6GALNAC6
4301,TBX21
1543,LRRC4B
1544,GNPDA2
1545,HYI
4298,SERPINB3
1547,OR2A4
4302,ACOT8
4296,NRG1
4295,HIBADH
1551,OR2M5
1552,ISG15
4293,RORB
1554,GAST
1556,OR52L1
1558,SRGAP1
1559,GPSM1
1549,OPLAH
1532,TRIP10
4303,OR10G8
1530,GSTZ1
1507,MIR330
4313,GHRL
1509,F9
1510,ABLIM3
1513,SLC22A1
4312,ENTPD2
1515,MAML2
4309,LIMD1
1519,RAMP1
1520,MIR15A
1521,B3GALT1
4308,FXYD1
1523,WWC1
1524,MIR181A1
4307,P2RX7
4306,IDI2
1527,DHRS4L1
1528,HAT1
1529,TAS2R10
1504,DLL3
4475,TXNDC12
1293,FUT5
1135,LEFTY2
1001,OXT
1129,SH2D1B
1002,HIST1H2BF
4543,AUH
1126,PRKD3
1003,MIR99A
1125,SENP2
1123,PKIA
1004,FRMD1
4624,ALDH18A1
4622,HIST1H2BB
1008,ATP5I
4547,OR2Y1
1000,EGR1
1116,TAS2R30
4552,OR6V1
1112,NUDT5
1111,RRAGC
1110,GTF2IRD1
1109,PPP5D1
1009,POC1B-GALNT4
4553,CD79A
1107,GRM7
4554,SERPINA1
1105,OR5T3
4618,DHRS3
1104,CKMT2
1012,SEMA4F
4549,NR1H3
1130,IDNK
1131,PEMT
4627,QRSL1
4521,SFRP4
1149,APH1B
1148,MTHFD1
982,MYH2
1147,KLC2
4522,SNAP25
4525,MOB1A
1144,OR2T34
4637,SRD5A2
1143,SCRIB
4528,GALNT12
985,CD59
4635,HIST1H3J
987,UROS
4529,ACP6
988,OR52E6
1140,PPM1B
4634,GMPR
992,SKAP1
1139,HAAO
993,SRR
4530,ARHGAP10
995,OR4K17
4601,PGM3
996,PDSS1
997,IL13RA2
4537,OR2Z1
4629,OR9G9
4541,OR2J3
4617,EML4
1015,APRT
4615,NCSTN
1017,ATP6V1G1
1032,MIR101-1
1069,DYNC1I2
4605,TRPM2
4584,LFNG
1067,OR2F2
4586,SIPA1L2
1064,SDHC
4603,C8B
1063,AZI2
1038,OR4D11
1040,MIRLET7E
1062,CLEC4E
4587,MYH3
4602,RHOD
1059,BNIP3
1042,AHCY
1058,AMPD3
4590,NTN1
1056,SEMA3F
1055,ZFYVE16
1054,PSPH
4591,STAG1
4593,KCNJ10
4594,SULT2B1
1043,SYNGAP1
4597,CKMT1A
1049,GUCY2C
1044,OR11A1
1045,KRIT1
1073,ST3GAL3
4518,ELOVL1
1030,MIRLET7D
1028,SUV420H2
1103,SERPIND1
4555,PIGY
4556,CDKN2C
4614,CTSL
1100,IAPP
1020,BCAT2
4564,SFRP2
1094,P2RX6
1092,TAS2R4
1021,ALG1
1090,GALNT11
4570,MIR199A2
4572,ALG12
1024,CRY1
1086,MAP4K4
1085,MCM7
4574,CMAS
1082,HIST1H3C
1081,OR4D10
4577,OR9A4
1079,MIR145
1078,HCAR1
1077,CHRNA3
1217,PTGIS
1076,SEMA7A
1075,GSR
1074,PRSS1
1026,THEM4
1027,HIP1
4609,FAH
4517,KMT2E
4598,HIST2H2BE
955,DOCK4
4652,TKTL1
4659,MAP4K3
1178,RAMP3
1206,RPE65
959,HSD17B3
1177,UAP1L1
4649,MAML1
4486,PNPLA7
961,SESN3
4504,OR1L4
4505,RGL2
4507,HIST1H2BL
947,OR6K6
4491,PPCDC
4648,SERPINB13
1171,MIR520H
963,DMGDH
4647,CSGALNACT1
1170,OR2B2
4646,JAG1
4509,DFFA
4487,MIRLET7B
4502,CHRNB4
1204,OR51A4
949,CDH5
4489,UAP1
1199,ALPL
4494,NCKAP1
4497,MIR29C
1190,PPP1R3C
950,CLDN14
4488,CASK
1189,NMNAT3
1188,PHYKPL
4498,TBPL1
4483,GUK1
4657,GRM4
4656,MIR7-3
1185,MLKL
1201,HYAL2
1182,CPEB3
1181,SFRP5
1202,OR8B2
1203,ALG2
4653,CALB1
957,KDSR
1180,H6PD
