index,herb
0,光头独活
1,荔枝核
2,北美葶苈子
3,葛根
4,草乌头
5,紫苏苞
6,栝楼茎叶
7,熊胆
8,姜叶
9,西葫芦
10,南蒿
11,番木瓜
12,诃子
13,橘络
14,荔枝根
15,金樱叶
16,益母草花
17,柠檬
18,橘白
19,炙马钱子
20,红景天
21,樟树子
22,虎杖
23,草果
24,绿豆叶
25,细辛
26,四季青
27,川黄连
28,西党
29,印度棉
30,苏子
31,葱白
32,萝芙木
33,葎草
34,制桂枝
35,败酱
36,莲房
37,马桑与马桑寄生
38,陈蒿
39,萱草嫩苗
40,橘皮
41,肉桂
42,葱须
43,儿茶
44,天花粉
45,暴马子
46,桑根
47,茯神
48,紫杉
49,八角茴香油
50,花生衣
51,白花射干
52,牛蒡子
53,鹤虱风
54,韭菜根
55,无花果叶
56,茄根
57,斑蟊
58,牡荆根
59,玫瑰花
60,自消容根
61,板蓝根
62,毛泡桐
63,水栀根
64,羊蹄叶
65,柚皮
66,车前与车前草
67,猪屎豆
68,藤黄
69,松叶
70,望江南
71,青蒿子
72,荜茇根
73,脾寒草
74,白玉兰
75,木槿皮
76,棘针
77,甜瓜叶
78,光慈姑
79,莲子
80,连翘茎叶
81,黄精叶
82,荷包牡丹根
83,柏枝节
84,牡荆枝
85,鼠李
86,火麻仁
87,三尖杉
88,忍冬藤
89,鸡冠苗
90,松节
91,补骨脂
92,桔梗
93,虎尾兰
94,白芷叶
95,金荞麦
96,鱼藤
97,白屈菜根
98,满山红
99,宽叶羌活
100,白菊花根
101,骨碎补毛
102,水蛭
103,泡桐花
104,甘草头
105,长梗百蕊草
106,胡萝卜子
107,筋骨草
108,柠檬根
109,叉歧繁缕
110,胡萝卜
111,洪连
112,丁香露
113,枳壳
114,短柱八角
115,碧桃干
116,盾叶鬼臼
117,灵仙
118,莱菔
119,小连翘
120,木槿叶
121,酒大黄
122,枸杞
123,扁豆藤
124,苍耳子
125,喜树皮
126,苦豆草
127,臭柏
128,长筒瞿麦
129,苏叶
130,山扁豆
131,白槿花
132,白花映山红
133,防风
134,荔枝壳
135,荷梗
136,九里香
137,药用牛舌草
138,防己
139,长叶薄荷
140,吕宋果
141,金鸡纳
142,百合子
143,大芭蕉
144,益母草
145,紫檀香
146,木瑚蝶树皮
147,独角莲
148,南瓜
149,漏芦
150,风箱树叶
151,多头风轮菜
152,马桑叶
153,川芎
154,鸦胆子
155,葛花
156,川乌
157,桑叶汁
158,羊蹄实
159,山豆根
160,桃仁
161,甜瓜皮
162,粟壳
163,水红花子
164,绵枣儿
165,荷花
166,金樱子
167,肿节风
168,大花旋覆花
169,槐根
170,草豆蔻
171,阿育魏实
172,辣椒头
173,花白蜡树
174,松香
175,旋覆花根
176,桦树液
177,野花生
178,喜树叶
179,白花夏枯草
180,鸡冠花
181,除虫菊
182,川防风
183,桑椹
184,石韦
185,附子
186,台湾千金藤
187,小叶莲
188,紫金牛根
189,枣树根
190,紫菜
191,枸骨子
192,骨碎补
193,鹤虱
194,小花八角
195,无患子皮
196,香樟根
197,龙葵子
198,芫花
199,西伯利亚红松
200,银杏果
201,苏合香
202,鹿茸
203,芦荟
204,落花生
205,瓜蒌皮
206,猕猴桃枝叶
207,黄瓜藤
208,桃胶
209,古城玫瑰树
210,茶芎
211,欧当归
212,扁竹根
213,肝风草
214,牛蒡茎叶
215,青皮
216,牛乳
217,地黄
218,白扁豆
219,巴戟
220,芋叶
221,梧桐根
222,橄榄核
223,刀豆
224,木蝴蝶
225,洋常春藤
226,茴芹
227,面根藤
228,光叶猪屎豆
229,凌霄花
230,罂粟壳
231,苎麻根
232,紫藤根
233,连钱草
234,通花花
235,葱叶
236,香薷
237,扁豆叶
238,苜蓿
239,梧桐子
240,白头翁花)
241,白果
242,牛膝茎叶
243,普洱茶
244,复盆子
245,白花前胡
246,巴旦杏仁
247,萱草根
248,苦甘草
249,杨梅
250,橄榄
251,青蒿根
252,益智仁
253,白屈菜
254,娃儿藤
255,黄大豆
256,海南粗榧
257,黄芪
258,大力子
259,赤芍
260,辣椒茎
261,油棕
262,甘松
263,玄参
264,油柑叶
265,功劳子
266,雪莲
267,炙甘草
268,茯苓
269,山白芷
270,黄瓜
271,制没药
272,钩藤
273,凹叶野百合
274,甜瓜花
275,丁香枝
276,干姜
277,化香树果
278,山蓼
279,桃根
280,百合
281,茄子
282,马桑树皮
283,茯苓皮
284,百合花
285,毛果芍药
286,半边莲
287,漏篮子
288,蓖麻根
289,横根费菜
290,广霍香
291,炮姜
292,葛谷
293,灵芝草
294,制大黄
295,桂丁
296,金银花
297,虎杖叶
298,水仙根
299,紫苏子
300,麦角
301,雷公藤
302,甘草稍
303,紫苏叶
304,吴芋
305,韭菜子
306,茴香根茎叶
307,怀牛膝
308,蝴蝶花
309,柠檬皮
310,茶树根
311,刺花椒
312,南鹤虱
313,麻叶
314,轮环藤
315,金果榄
316,丽春花
317,桃南瓜
318,天麻
319,北沙参
320,余甘子
321,多花黑麦草
322,覆盆子叶
323,甘草节
324,雄黄
325,桃叶
326,艾叶
