index,target
0,AZIN1
1,GSTA2
2,BAX
3,CYP3A4
4,ALOX5
5,XDH
6,AKR1C1
7,CYP2A6
8,GGT5
9,GCLC
10,GSTP1
11,GFAP
12,CCL3
13,CAMK4
14,TPO
15,SRD5A2
16,CYP2E1
17,MAP2
18,CREB1
19,BDNF
20,LPL
21,RETN
22,MAPK1
23,RELA
24,ABCA1
25,EGF
26,PTGES2
27,CASP3
28,PLA2G4A
29,PPARG
30,PTEN
31,PTGES
32,G6PD
33,PPP5C
34,ALDH2
35,PRKCB
36,C1R
37,PECAM1
38,PTGS2
39,KCNK2
40,KCNK10
41,CETP
42,CCND1
43,SELP
44,COL1A2
45,GLB1
46,CDK4
47,CDK2
48,ALDH3A1
49,ABCG1
50,NOS3
51,NOS2
52,HERC5
53,ABCC4
54,UCP2
55,TNFRSF1A
56,TNFRSF1B
57,AGTR1
58,JUN
59,MAPK9
60,NFKBIA
61,GH1
62,LDLR
63,GHR
64,TP53
65,IL4
66,IL6
67,IGF1
68,MTTP
69,EP300
70,HIF1A
71,TFF1
72,CDKN1A
73,CDKN1B
74,GABBR1
75,CASP9
76,CASP8
77,CAT
78,BAD
79,APOB
80,PPARGC1B
81,VEGFA
82,TGFB1I1
83,PLAT
84,CD5L
85,NR1I2
86,ATP5B
87,ICAM1
88,RAD51
89,PLIN2
90,BCL2
91,BIRC5
92,SOD1
93,SOD2
94,PDGFA
95,MMP9
96,MMP2
97,AHR
98,CAV1
99,ITGB5
100,CYP19A1
101,P4HB
102,FOS
103,PRKCA
104,TNF
105,IFNA13
106,PGP
107,FAS
108,IFNB1
109,CYP2B6
110,MKI67
111,MAOA
112,HSD3B2
113,HSD3B1
114,CPT1A
115,MT2A
116,BARD1
117,EIF6
118,ACHE
119,TIMP2
120,ECE1
121,B4GALT4
122,CDKN2AIP
123,LEPR
124,BAP1
125,RHOA
126,ESR1
127,ESR2
128,TRPM2
129,MT-ND6
130,VCAM1
131,IGF1R
132,CYP21A2
