,herb,target
0,189,2843
1,1189,4287
2,807,2889
3,335,304
4,1233,1159
5,1253,2578
6,238,4860
7,1231,1936
8,1177,4341
9,113,817
10,1038,2476
11,994,664
12,384,3313
13,272,2752
14,1169,1946
15,509,4104
16,1212,4386
17,89,1454
18,317,1281
19,1188,582
20,1202,1859
21,903,2700
22,525,686
23,259,3308
24,1472,4591
25,879,3771
26,798,931
27,1052,2170
28,1181,2401
29,537,912
30,492,2963
31,559,4657
32,532,3498
33,1127,530
34,60,2246
35,1337,2322
36,1029,164
37,1131,4829
38,865,3372
39,1419,4774
40,661,2314
41,96,951
42,461,3069
43,1274,1971
44,1393,750
45,361,4479
46,865,4493
47,444,2820
48,1130,2957
49,1280,1454
50,781,4798
51,1058,3804
52,344,4918
53,1070,1862
54,795,1041
55,95,3729
56,849,4859
57,1217,2882
58,28,1574
59,658,218
60,717,1735
61,1358,3709
62,29,3340
63,133,2711
64,694,2998
65,959,1522
66,135,897
67,931,2511
68,427,4636
69,923,1216
70,831,3083
71,1190,2419
72,584,4672
73,1332,2337
74,1341,279
75,785,1650
76,948,3072
77,104,4397
78,834,1586
79,1462,1453
80,974,2308
81,865,2810
82,123,4082
83,663,1360
84,347,3651
85,1208,1786
86,1346,2196
87,1293,3571
88,1059,3615
89,1404,2600
90,1242,2511
91,1464,4974
92,292,352
93,1438,3122
94,774,4193
95,463,3196
96,1314,3745
97,356,3961
98,182,1309
99,192,4297
100,896,4627
101,1290,2063
102,428,4392
103,1457,3895
104,175,93
105,299,1872
106,590,2096
107,1418,3222
108,1060,724
109,1411,2659
110,1083,1742
111,689,628
112,838,4844
113,1345,4601
114,286,4226
115,1490,2805
116,338,2437
117,1011,4802
118,860,2465
119,1029,3037
120,696,1197
121,1256,160
122,65,1068
123,604,983
124,871,5127
125,73,941
126,508,2630
127,552,3230
128,1016,736
129,517,4112
130,850,1252
131,363,2365
132,465,4989
133,1401,3862
134,1135,4497
135,1473,1318
136,0,3904
137,621,4121
138,1432,3967
139,1078,3136
140,64,4793
141,205,3788
142,385,968
143,1027,1786
144,680,1415
145,216,1605
146,398,317
147,37,4641
148,689,4127
149,598,77
150,651,3045
