,herb,target
0,627,4858
1,347,1271
2,375,797
3,558,4059
4,855,2342
5,1060,3971
6,846,4418
7,969,3215
8,1266,1344
9,129,326
10,742,2059
11,750,4563
12,573,4186
13,719,4229
14,1410,2545
15,696,1602
16,1363,2004
17,1391,4022
18,366,1140
19,173,4475
20,1464,63
21,688,2259
22,1337,4619
23,1088,5067
24,525,463
25,24,3806
26,1311,4659
27,214,2935
28,53,4250
29,891,1
30,434,573
31,136,4213
32,656,2895
33,671,73
34,787,1759
35,373,695
36,1135,425
37,952,2147
38,35,1768
39,1259,5009
40,1239,442
41,398,49
42,912,2275
43,497,3262
44,40,94
45,131,1095
46,1458,3974
47,1191,1857
48,1043,2062
49,549,2622
50,393,2864
51,1433,3539
52,375,720
53,1249,4629
54,1292,3526
55,317,755
56,1099,4171
57,597,1771
58,1330,4627
59,1386,3087
60,1302,4401
61,38,3652
62,537,1568
63,1485,1016
64,27,4995
65,686,1801
66,203,3337
67,1012,3429
68,1311,796
69,812,4348
70,1167,2096
71,606,1312
72,925,140
73,1233,2745
74,468,3315
75,1362,2215
76,580,2577
77,522,2928
78,792,2334
79,1040,3354
80,1232,12
81,797,4797
82,281,4242
83,92,3466
84,900,394
85,1105,4263
86,816,3881
87,669,3491
88,384,1801
89,1361,171
90,232,4540
91,218,5002
92,95,1495
93,75,3060
94,1401,95
95,673,3434
96,885,1540
97,1291,2287
98,1271,1576
99,1219,1640
100,871,4599
101,868,1709
102,603,1786
103,1395,440
104,275,654
105,1415,5017
106,88,2085
107,1203,4522
108,319,356
109,91,3002
110,210,2108
111,887,2932
112,491,8
113,577,2727
114,1325,757
115,614,1426
116,1390,1977
117,443,4930
118,727,537
119,872,2278
120,1486,774
121,659,2069
122,103,4408
123,1003,1729
124,1076,2287
125,87,3447
126,1442,4977
127,711,3756
128,162,3265
129,1147,3348
130,267,4085
131,814,4665
132,1131,4295
133,1204,675
134,882,58
135,350,1126
136,76,2866
137,1062,3231
138,1135,2602
139,1062,380
140,1271,2800
141,1156,2221
142,1174,2521
143,989,1018
144,382,4342
145,665,4258
146,1160,3916
147,167,1251
148,967,4827
149,335,4545
150,112,3127
151,709,3692
152,1494,2231
153,6,4826
154,954,2852
155,833,2924
156,270,2529
157,1323,5176
158,1220,1053
159,271,432
160,869,70
161,142,1354
162,65,744
163,781,514
164,1282,3300
165,371,4873
166,131,4686
167,801,3004
168,339,3144
169,25,3179
170,647,3586
171,171,2154
172,1121,3063
173,1240,4597
174,903,2503
175,1033,4854
176,1389,4118
177,1458,1986
178,958,4603
179,1069,941
180,1288,4127
181,655,2707
182,97,1168
183,1166,3507
184,1288,817
185,991,2909
186,1131,4880
187,1198,1889
188,534,3547
189,42,1258
190,893,2461
191,1065,885
192,151,1641
193,1259,1156
194,1207,3554
195,208,3614
196,292,868
197,211,3489
198,771,2260
199,364,4945
200,953,793
201,1311,385
202,443,699
203,1252,3791
204,811,1982
205,374,3600
206,829,525
207,706,2274
208,320,2228
209,1491,2938
210,1309,5034
211,396,3601
212,1303,2076
213,1196,1695
214,1406,4375
215,74,2629
216,27,1445
217,1078,4475
218,609,4801
219,1016,3644
220,984,4217
221,999,4079
222,1315,2758
223,585,48
224,1028,4555
225,1118,1166
226,150,4170
227,1394,577
228,1109,3179
229,1387,2303
230,1366,5012
231,776,1667
232,1199,358
233,118,2329
234,1028,3142
235,1177,656
236,458,1497
237,729,3820
238,129,3531
239,562,1900
240,1462,537
241,654,4776
242,243,2644
243,828,656
244,228,1407
245,705,2374
246,246,1646
247,1222,3062
248,91,4528
249,699,3100
250,1298,78
251,467,1759
252,926,4311
253,798,4023
254,164,1371
255,794,5116
256,314,3340
257,1232,3208
258,1192,2978
259,1445,4302
260,793,3770
261,449,588
262,335,2111
263,181,989
264,1258,3443
265,1019,2917
266,1372,1725
267,1384,4998
268,1166,3348
269,991,3781
270,350,827
271,1018,3354
272,472,5063
273,269,1923
274,183,5009
275,896,1330
276,855,1700
277,29,4923
278,588,3407
279,241,3949
280,396,1101
281,750,2193
282,1485,5184
283,1356,2566
284,497,4977
285,1443,611
286,1422,5006
287,1071,440
288,59,4352
289,434,4262
290,518,4663
291,451,5022
292,76,597
293,338,968
294,1013,1626
295,1377,4331
296,375,4735
297,1489,1437
298,764,998
299,258,2374
300,713,1805
301,1168,1420
302,1261,3112
303,1330,405
304,686,2250
305,1377,2523
306,631,2416
307,33,4450
308,761,2926
309,713,2976
310,1137,2304
311,1056,4038
312,1052,1327
313,229,4856
314,578,4849
315,18,913
316,1407,859
317,1343,507
318,444,4243
319,780,2909
320,602,1672
321,754,2544
322,1193,4493
323,899,3360
324,725,2230
325,956,3203
326,51,4363
327,1062,630
328,807,4646
329,1168,1222
330,336,409
331,848,1012
332,195,1650
333,1423,4685
334,702,803
335,159,1523
336,1350,1379
