Index,herb,target
0,680,2844
1,54,3518
2,1142,1488
3,787,2169
4,1436,1230
5,851,4366
6,1032,2815
7,22,5057
8,73,4674
9,602,2630
10,663,4115
11,1154,1812
12,312,3171
13,284,1338
14,479,843
15,663,3768
16,920,564
17,1031,1931
18,644,1366
19,163,345
20,983,2046
21,201,2335
22,282,4682
23,1486,2702
24,723,4573
25,22,705
26,1161,647
27,54,4612
28,1246,2576
29,686,192
30,415,5183
31,1373,3171
32,1408,750
33,1400,2706
34,537,1488
35,73,1911
36,890,678
37,283,843
38,731,3547
39,455,5024
40,675,1474
41,1456,1128
42,663,3171
43,955,17
44,530,2112
45,170,2337
46,226,850
47,807,4159
48,557,805
49,706,4519
50,780,4842
51,70,706
52,1158,4911
53,17,4467
54,1197,4045
55,458,647
56,851,97
57,1011,1397
58,238,5050
59,17,564
60,269,2844
61,1249,5106
62,1466,541
63,743,627
64,123,4729
65,873,2518
66,1203,1721
67,49,146
68,1028,4273
69,665,1320
70,821,854
71,959,4314
72,1316,647
73,374,3273
74,442,4871
75,780,564
76,720,3075
77,181,1626
78,1182,856
79,720,3352
80,1367,830
81,851,110
82,957,620
83,445,3252
84,527,3781
85,787,345
86,395,3839
87,904,2157
88,210,662
89,40,1831
90,37,5154
91,178,830
92,1336,1221
93,906,647
94,54,1000
95,70,4632
96,1456,903
97,1458,2070
98,720,1320
99,1372,492
100,983,3177
101,138,1707
102,320,656
103,479,4815
104,1381,4512
105,557,4588
106,884,1977
107,849,2267
108,916,1895
109,1043,4573
110,1338,4736
111,775,3171
112,1242,5171
113,328,4273
114,1168,3865
115,21,4082
116,210,4573
117,768,495
118,1068,3794
119,976,875
120,170,110
121,382,4624
122,190,4140
123,1205,4674
124,55,4314
125,210,4767
126,1380,4015
127,1367,1018
128,1350,4856
129,970,2346
130,460,3252
131,1360,678
132,1278,3252
133,482,1221
134,203,2717
135,643,4736
136,1300,4726
137,1381,2540
138,55,3330
139,530,1366
140,511,604
141,1455,2630
142,1361,2540
143,382,4777
144,728,218
145,73,854
146,27,3252
147,159,1339
148,552,1234
149,711,1526
150,969,132
151,60,1037
152,1190,2702
153,1375,2630
154,324,4937
155,1205,5181
156,547,3171
157,1436,2287
158,1028,1758
159,1112,1857
160,1340,1538
161,1168,192
162,1212,1706
163,699,2170
164,178,3646
165,569,4346
166,626,4167
167,189,5181
168,560,120
169,890,1871
170,437,2810
171,1158,1735
172,886,3252
173,321,492
174,1036,3075
175,1300,1831
176,920,3252
177,218,2175
178,993,2818
179,64,2844
180,1450,2335
181,1436,2710
182,27,5072
183,38,1508
184,193,4632
185,1236,4838
186,103,5138
187,1436,1692
188,626,1508
189,1166,4167
190,199,816
191,529,647
192,1025,1128
193,851,4682
194,851,1609
195,858,4983
196,663,705
197,859,4167
198,973,1240
199,963,1320
200,1036,4783
201,869,110
202,1242,3394
203,1315,2702
204,1011,34
205,969,3252
206,588,3483
207,437,94
208,1338,2815
209,415,3646
210,1474,1508
211,1367,2576
212,479,4273
213,963,3627
214,706,2335
215,968,4964
216,87,5171
217,835,4319
218,1031,2740
219,174,3110
220,1437,2335
221,862,3544
222,1150,2540
223,1065,1977
224,1090,1508
225,296,4330
226,88,1400
227,426,3517
228,1380,1816
229,731,3784
230,482,492
231,900,4818
232,449,3633
233,380,1488
