Index,herb,target
0,1332,2041
1,766,236
2,965,248
3,126,1843
4,39,4071
5,252,2155
6,690,4517
7,1277,4230
8,893,874
9,1195,1036
10,329,4363
11,161,688
12,619,2925
13,1146,3052
14,864,4122
15,148,1629
16,1362,4714
17,500,4657
18,795,2879
19,995,504
20,712,3052
21,1200,2643
22,1178,1074
23,1265,2978
24,112,5110
25,301,5069
26,756,950
27,280,4606
28,1196,1569
29,292,3696
30,722,1655
31,1057,96
32,285,2334
33,701,1483
34,295,3930
35,989,1807
36,66,2313
37,361,4600
38,1183,3965
39,1219,1417
40,1166,3730
41,1267,2485
42,1326,158
43,862,1168
44,232,930
45,506,3381
46,890,3332
47,801,4587
48,11,2120
49,943,1591
50,874,4160
51,273,3113
52,519,4466
53,1216,3873
54,922,1396
55,1187,3873
56,1396,2340
57,951,887
58,127,1158
59,1478,5110
60,1133,898
61,350,2645
62,631,2035
63,1443,3668
64,609,2530
65,567,2537
66,1175,4906
67,102,2480
68,786,4707
69,283,4536
70,83,4222
71,906,1034
72,891,799
73,32,1425
74,1392,5156
75,1456,4276
76,158,2089
77,1317,2591
78,1081,4554
79,517,190
80,1487,3707
81,1332,2070
82,302,2809
83,1199,3133
84,489,4711
85,828,245
86,934,1555
87,37,557
88,737,4199
89,1450,4279
90,656,2167
91,69,2319
92,1265,4330
93,1331,2589
94,933,1773
95,872,2509
96,1484,3655
97,124,2290
98,827,4442
99,1448,381
100,1433,1426
101,1047,1279
102,453,4495
103,1364,1559
104,760,1148
105,681,843
106,271,1757
107,53,548
108,1241,3324
109,573,3847
110,723,4426
111,752,3093
112,1001,4700
113,1361,88
114,718,2209
115,1348,1562
116,357,3922
117,322,2394
118,397,1291
119,508,1787
120,588,5210
121,879,3741
122,36,1294
123,280,122
124,963,3044
125,1100,3238
126,1494,3992
127,729,1409
128,389,4299
129,1228,4122
130,32,3401
131,687,5008
132,42,853
133,132,1748
134,413,3159
135,175,2880
136,358,2669
137,417,1346
138,1118,4951
139,963,4912
140,88,2148
141,665,4366
142,1270,831
143,1083,139
144,1456,92
145,461,709
146,1077,2951
147,1230,430
148,543,1199
149,517,2540
150,258,3186
151,698,4040
152,1447,2900
153,655,151
154,116,2631
155,1002,2180
156,1008,1760
157,248,2552
158,656,661
159,314,3089
160,603,169
161,118,5017
162,212,2570
163,1394,2684
164,1328,2514
165,1275,178
166,921,980
167,1482,4945
168,184,346
169,1180,2831
170,659,4231
171,1058,1677
172,777,4553
173,1293,577
174,203,4009
175,26,4438
176,788,1784
177,636,3430
178,551,3565
179,461,1528
180,812,156
181,262,1771
182,269,4722
183,789,3656
184,212,720
185,1024,1049
186,391,1964
187,1336,36
188,1096,795
189,1036,1607
190,664,931
191,752,4073
192,1082,1389
193,762,4188
194,765,3961
195,1163,3838
196,904,1346
197,889,1195
198,397,1260
199,199,4385
200,693,4374
201,529,3809
202,804,683
203,1451,1279
204,957,1286
205,177,673
206,1310,2848
207,353,2551
208,1295,649
209,1297,5114
210,1324,376
211,735,3579
212,570,2608
213,1301,4096
214,227,4965
215,258,1787
216,704,2817
217,436,154
218,1232,2863
219,797,3085
220,1126,450
221,502,4822
222,1045,2391
223,611,4063
224,283,763
225,1363,2276
226,1161,1888
227,25,4812
228,527,2458
229,140,2361
230,155,593
231,316,3431
232,484,4842
233,410,3667
234,315,5056
235,561,3224
236,296,954
237,103,2312
238,691,1005
239,1455,3765
240,708,2277
241,1293,2024
242,1462,4780
243,1315,4348
244,170,641
245,988,1271
246,261,2167
247,399,4227
248,849,4112
249,239,4720
250,1147,1426
251,148,2376
252,745,2102
253,212,4897
254,1386,2182
255,552,2562
256,491,2872
257,91,2700
258,61,4063
259,576,657
260,974,3770
261,991,1731
262,87,4678
263,584,2763
264,162,1678
265,244,4894
266,549,2687
267,204,2656
268,1259,2865
269,438,4302
270,1028,1713
271,566,2354
272,800,2544
