,herb,target
0,178,3724
1,775,1474
2,630,2815
3,724,2736
4,1260,1065
5,428,977
6,190,4605
7,1023,3927
8,372,2287
9,573,903
10,93,192
11,706,2346
12,315,282
13,87,2266
14,552,3668
15,1036,3699
16,1381,1400
17,1035,4937
18,1457,526
19,1424,4115
20,513,2335
21,1137,5154
22,534,4810
23,1063,4305
24,1382,553
25,170,722
26,980,3171
27,511,5135
28,351,662
29,11,816
30,1424,3864
31,978,2337
32,150,4864
33,218,526
34,256,3171
35,901,801
36,1450,705
37,482,3171
38,918,1474
39,855,4927
40,1278,3075
41,272,315
42,1361,2866
43,1423,4280
44,912,590
45,273,1706
46,1360,3047
47,436,3699
48,282,5183
49,711,4273
50,543,4563
51,782,4927
52,321,2287
53,519,3252
54,399,120
55,296,2046
56,637,2437
57,1167,1788
58,1105,843
59,887,553
60,569,5037
61,1105,3154
62,624,1488
63,1150,4804
64,663,495
65,1239,1885
66,17,1221
67,1408,132
68,1111,750
69,534,3882
70,955,526
71,1011,656
72,48,3228
73,339,689
74,110,1783
75,269,3171
76,1174,4250
77,772,1972
78,1147,3171
79,1197,2174
80,1307,2205
81,1458,854
82,717,1722
83,1186,3252
84,821,1474
85,479,2437
86,1246,3633
87,529,1366
88,1184,146
89,1422,3379
90,731,1221
91,1436,1911
92,993,4059
93,278,138
94,1102,146
95,1436,986
96,138,1707
97,380,1831
98,1466,1474
99,304,875
100,460,2518
101,547,2844
102,1373,564
103,993,4674
104,947,539
105,1214,3252
106,1327,942
107,1361,1362
108,389,4937
109,73,2630
110,1457,1734
111,535,2781
112,643,553
113,916,843
114,170,1977
115,321,3438
116,665,3252
117,123,965
118,864,5183
119,273,2335
120,1025,4273
121,474,2070
122,774,3665
123,901,1783
124,1170,1488
125,410,526
126,102,492
127,1111,3627
128,1230,3049
129,535,2600
130,207,4829
131,420,84
132,1187,1911
133,851,628
134,293,1508
135,521,1972
136,1102,3049
137,1345,1488
138,720,322
139,1158,3962
140,963,850
141,587,142
142,1017,857
143,942,2157
144,1090,1678
145,519,2815
146,60,1060
147,1205,971
148,70,4467
149,1224,501
150,64,4404
151,1380,4273
152,220,553
153,1242,5171
154,587,3703
155,587,2163
156,884,2540
157,1295,146
158,1380,526
159,413,146
160,273,1366
161,557,4632
162,932,4687
163,501,1626
164,372,3864
165,258,560
166,375,854
167,203,2521
168,1454,1366
169,472,3146
170,942,1508
171,904,2437
172,1424,2175
173,218,3250
174,1443,5181
175,360,1474
176,1242,4937
177,296,2702
178,713,1436
179,637,2302
180,930,5204
181,1167,3177
182,1076,438
183,1450,322
184,135,4250
185,521,3252
186,1484,4927
187,831,4250
188,648,4273
189,351,492
190,413,1812
191,1039,3252
192,1338,2433
193,230,4350
194,510,4579
195,1278,3171
196,460,526
197,727,521
198,312,2335
199,851,2232
200,530,1366
201,1447,3319
202,1082,2337
203,1034,3171
204,587,2677
205,458,4687
206,321,2810
207,1169,5183
208,916,2205
209,978,2772
210,428,507
211,588,146
212,300,2781
213,807,1508
214,932,2046
215,482,843
216,184,2630
217,5,4467
218,242,871
219,1115,3180
220,1011,4674
221,550,843
222,399,5147
223,174,1811
224,1026,3171
225,387,4804
226,70,3440
227,570,1320
228,720,722
229,64,1783
230,1077,2602
231,1160,843
232,1336,1332
233,537,382
234,602,4273
235,983,1508
236,1300,1911
237,1203,497
238,875,1871
239,696,1346
240,855,5181
241,703,1457
242,343,4856
243,535,1179
244,512,3703
245,1338,526
246,1034,192
247,932,1320
248,1013,1734
249,569,2337
250,1259,843
251,602,539
252,1017,3757
253,1009,151
254,410,1783
255,676,3104
256,170,3034
257,637,705
258,1436,2337
259,648,2335
260,712,2899
261,1039,1128
262,1065,3228
263,293,492
264,73,4632
265,1267,1734
266,184,2411
267,1158,2437
268,1448,3789
269,977,1734
270,978,1632
271,203,1320
272,780,5109
273,1168,3649
274,70,4471
275,920,1622
276,513,857
277,713,931
278,600,3518
279,27,234
280,760,531
281,380,1940
282,1063,3965
283,244,1582
284,1381,2070
285,519,1587
286,835,4815
287,1345,3093
288,940,2163
289,315,627
290,380,345
291,1013,1783
292,1422,409
293,1090,634
294,920,1128
295,82,1702
296,1371,4471
297,27,1871
298,886,3864
299,983,2112
300,939,3436
301,105,2711
302,1472,65
303,219,4695
304,1370,1508
305,1225,531
306,851,3314
307,968,5098
308,680,21
309,588,854
310,1371,2129
311,878,1366
312,1474,647
313,845,1362
314,973,2607
315,530,325
316,947,1474
317,1361,538
318,651,1811
319,1002,1488
320,983,3544
321,150,526
322,884,4045
323,917,1783
324,587,3689
325,1249,4867
326,315,2708
327,1340,1474
328,873,1783
329,587,2410
330,955,192
331,406,5181
332,153,3455
333,543,1508
334,940,903
335,207,2335
336,1067,2070
337,1457,26
338,428,17
339,273,4798
340,1249,3252
341,170,4291
342,202,3633
343,274,17
344,978,1184
345,270,3394
346,1225,3056
347,519,526
348,472,4512
349,1284,1871
350,17,352
351,187,1890
352,901,5024
353,73,4291
354,430,1474
355,1361,606
356,1092,1221
357,983,2815
358,943,3882
359,1001,2815
360,847,2709
361,529,1730
362,60,3134
363,1472,565
364,123,3394
365,1371,2112
366,1426,3352
367,1422,3005
368,1470,1812
369,900,647
370,1167,3182
371,1428,314
372,731,628
373,743,2006
374,1184,4273
375,547,3394
376,586,3075
377,233,2540
378,399,526
379,969,3517
380,1230,4921
381,197,843
382,1299,1890
383,720,526
384,1063,3635
385,184,1651
386,1205,986
387,1044,3665
388,182,1474
389,502,3864
390,328,3252
391,879,3557
392,1168,2709
393,873,4632
394,189,2630
395,358,971
396,1349,4273
397,627,2540
398,901,1488
399,560,1000
400,1047,2433
401,1053,526
402,932,4937
403,1360,1812
404,70,3524
405,862,1932
406,218,929
407,511,2726
408,1448,1885
409,304,894
410,1371,2521
411,816,843
412,182,3394
413,163,843
414,1280,1488
415,123,1362
416,1130,1508
417,1105,2337
418,588,4015
419,1447,37
420,500,3171
421,884,1218
422,210,110
423,60,1871
424,1063,4350
425,1182,4589
426,1373,2337
427,1056,4273
428,312,526
